22--INFO--2025-03-26 14:06:55,063--data ingestion started
30--INFO--2025-03-26 14:06:56,000--row data saved 
32--INFO--2025-03-26 14:06:56,076--split train and test data
35--INFO--2025-03-26 14:06:56,684--saved train data
37--INFO--2025-03-26 14:06:56,833--saved test data
47--INFO--2025-03-26 14:06:56,852--trasnformation initiated
50--INFO--2025-03-26 14:06:57,130--read test and train data
58--INFO--2025-03-26 14:06:57,588--transformation has been complited
18--INFO--2025-03-26 14:06:57,651--pickle dump succesfully
63--INFO--2025-03-26 14:06:57,651--save preprocessor object
64--INFO--2025-03-26 14:06:57,651--data tranformation has been complited
34--INFO--2025-03-26 14:06:57,669--read x_train,x_test,y_train,y_test
39--INFO--2025-03-26 14:06:57,722--model score is 0.9041942099881459
18--INFO--2025-03-26 14:06:57,726--pickle dump succesfully
42--INFO--2025-03-26 14:06:57,726--model traing has been complited and we have saved the model
